###########################################################################################################
# Material from Barraquand F.∗ , Pinot A.∗ , Yoccoz N.G. & Bretagnolle V. 
# Overcompensation and phase effects in a cyclic common vole population: between first and second order cycles
# Journal of Animal Ecology 2014. DOI: 10.1111/1365-2656.12257
############################################################################################################
"Sect"	"Date"	"Rta"	"Rtw"	"Rts"	"RtsAP"	"NtSp_moins1"	"NtSu_moins1"	"NtSp"	"NtSu"	"NtSp_plus1"	"NtSu_plus1"	"Ntfa"	"NtWi"	"Spr_NDVI"	"Win_NDVI"
"1"	"B"	1995	NA	0.212300504446715	NA	2.13647809871082	1.84246038647488	0.348274752230119	NA	1.84246038647488	2.27823802788442	19.2956647847926	NA	NA	517.875006666667	589.10626
"2"	"B"	1996	NA	-5.27241587197702	2.13647809871082	0.500973327322979	0.348274752230119	1.84246038647488	2.27823802788442	19.2956647847926	0.099009900990099	0.163398692810458	NA	NA	517.931246666667	620.66876
"3"	"B"	1997	NA	2.13014257025356	0.500973327322979	-0.142034965703274	2.27823802788442	19.2956647847926	0.099009900990099	0.163398692810458	1.3751742821341	1.19308872063677	NA	NA	528.95834	620.1875
"4"	"B"	1998	NA	0.963412219911142	-0.142034965703274	1.4859913300374	0.099009900990099	0.163398692810458	1.3751742821341	1.19308872063677	3.12663619303107	13.8176817462177	NA	NA	512.654166666667	610.89374
"5"	"B"	1999	NA	-3.325385146664	1.4859913300374	1.31666241600308	1.3751742821341	1.19308872063677	3.12663619303107	13.8176817462177	0.496865412831799	1.85377912791279	NA	NA	519.57708	623.15624
"6"	"B"	2000	NA	-2.14726997044128	1.31666241600308	-Inf	3.12663619303107	13.8176817462177	0.496865412831799	1.85377912791279	0.216526217228464	0	NA	NA	531.691673333333	626.58126
"7"	"B"	2001	NA	Inf	-Inf	0.658075671788675	0.496865412831799	1.85377912791279	0.216526217228464	0	2.93173823669943	5.6613997865952	NA	NA	536.979173333333	611.5125
"8"	"B"	2002	NA	-3.13976816217385	0.658075671788675	0.422028839139163	0.216526217228464	0	2.93173823669943	5.6613997865952	0.245098039215686	0.373787378737874	NA	NA	528.683333333333	628.75624
"9"	"B"	2003	NA	0.859157499696292	0.422028839139163	0.0115819642736124	2.93173823669943	5.6613997865952	0.245098039215686	0.373787378737874	0.882575757575758	0.892857142857143	NA	NA	523.227073333333	586.64374
"10"	"B"	2004	NA	0.120494144884142	0.0115819642736124	1.59640184622464	0.245098039215686	0.373787378737874	0.882575757575758	0.892857142857143	1.00719119290961	4.97073295853718	NA	NA	531.1875	620.84376
"11"	"B"	2005	NA	-3.39532677502983	1.59640184622464	1.07046427086894	0.882575757575758	0.892857142857143	1.00719119290961	4.97073295853718	0.166666666666667	0.486122223333444	NA	NA	512.5125	616.26874
"12"	"B"	2006	NA	0.838152736494555	1.07046427086894	1.44866725146924	1.00719119290961	4.97073295853718	0.166666666666667	0.486122223333444	1.12395929694727	4.78518549268362	NA	NA	531.12372	605.03126
"13"	"B"	2007	NA	-1.71336599079514	1.44866725146924	0.294284003582137	0.166666666666667	0.486122223333444	1.12395929694727	4.78518549268362	0.862568078850974	1.15770871075527	NA	NA	520.48214	607.11484
"14"	"B"	2008	NA	-1.61062370216864	0.294284003582137	-Inf	1.12395929694727	4.78518549268362	0.862568078850974	1.15770871075527	0.231267345050879	0	NA	NA	531.869733333333	627.11342
"15"	"B"	2009	NA	Inf	-Inf	NA	0.862568078850974	1.15770871075527	0.231267345050879	0	1.04714912280702	NA	NA	NA	505.93074	598.35988
"16"	"B"	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	504.1329	535.643
"17"	"B"	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"C"	1995	NA	NA	NA	2.26583431303157	NA	NA	NA	NA	2.69521843825249	25.9796507277568	NA	NA	517.875006666667	589.10626
"19"	"C"	1996	NA	-Inf	2.26583431303157	NA	NA	NA	2.69521843825249	25.9796507277568	0	0	NA	NA	517.931246666667	620.66876
"20"	"C"	1997	NA	Inf	NA	-0.349497486375319	2.69521843825249	25.9796507277568	0	0	2.50010004001601	1.76267626762676	NA	NA	528.95834	620.1875
"21"	"C"	1998	NA	1.41952978371307	-0.349497486375319	1.18768412793369	0	0	2.50010004001601	1.76267626762676	7.28897581526654	23.9040325907591	NA	NA	512.654166666667	610.89374
"22"	"C"	1999	NA	-3.24627101771127	1.18768412793369	0.448136920758313	2.50010004001601	1.76267626762676	7.28897581526654	23.9040325907591	0.930322624099145	1.45632053818648	NA	NA	519.57708	623.15624
"23"	"C"	2000	NA	-0.163819360270801	0.448136920758313	-2.46338551373412	7.28897581526654	23.9040325907591	0.930322624099145	1.45632053818648	1.23626373626374	0.105263157894737	NA	NA	531.691673333333	626.58126
"24"	"C"	2001	NA	2.13943478391095	-2.46338551373412	2.06684385032889	0.930322624099145	1.45632053818648	1.23626373626374	0.105263157894737	0.894172101830423	7.06382603229325	NA	NA	536.979173333333	611.5125
"25"	"C"	2002	NA	-1.44560849141865	2.06684385032889	-0.280130376286454	1.23626373626374	0.105263157894737	0.894172101830423	7.06382603229325	1.66425627875448	1.25765385816932	NA	NA	528.683333333333	628.75624
"26"	"C"	2003	NA	0.119058726339973	-0.280130376286454	1.5518695177899	0.894172101830423	7.06382603229325	1.66425627875448	1.25765385816932	1.41666666666667	6.6870726813062	NA	NA	523.227073333333	586.64374
"27"	"C"	2004	NA	-1.09906949808249	1.5518695177899	2.08499080291591	1.66425627875448	1.25765385816932	1.41666666666667	6.6870726813062	2.22800532918317	17.9232278501323	NA	NA	531.1875	620.84376
"28"	"C"	2005	NA	-3.36895809876089	2.08499080291591	0.496259552409124	1.41666666666667	6.6870726813062	2.22800532918317	17.9232278501323	0.617015840572305	1.01348913901706	NA	NA	512.5125	616.26874
"29"	"C"	2006	NA	1.30438748515504	0.496259552409124	1.31930364672633	2.22800532918317	17.9232278501323	0.617015840572305	1.01348913901706	3.73514431239389	13.9724858914071	NA	NA	531.12372	605.03126
"30"	"C"	2007	NA	-1.99753999739727	1.31930364672633	-Inf	0.617015840572305	1.01348913901706	3.73514431239389	13.9724858914071	1.89562785398534	0	NA	NA	520.48214	607.11484
"31"	"C"	2008	NA	Inf	-Inf	-Inf	3.73514431239389	13.9724858914071	1.89562785398534	0	0.0637755102040816	0	NA	NA	531.869733333333	627.11342
"32"	"C"	2009	NA	NA	-Inf	NA	1.89562785398534	0	0.0637755102040816	0	0	NA	NA	NA	505.93074	598.35988
"33"	"C"	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	504.1329	535.643
"34"	"C"	2011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"F"	1995	NA	-1.30068661754928	NA	2.50621669465699	5.69971583239257	1.14940741524546	NA	5.69971583239257	1.55228758169935	19.0286625316578	NA	NA	517.875006666667	589.10626
"36"	"F"	1996	NA	-Inf	2.50621669465699	Inf	1.14940741524546	5.69971583239257	1.55228758169935	19.0286625316578	0	0.122549019607843	NA	NA	517.931246666667	620.66876
"37"	"F"	1997	NA	1.38629436111989	Inf	1.68524817666891	1.55228758169935	19.0286625316578	0	0.122549019607843	0.490196078431373	2.64401440144014	NA	NA	528.95834	620.1875
"38"	"F"	1998	NA	0.776863570019063	1.68524817666891	1.01458891750076	0	0.122549019607843	0.490196078431373	2.64401440144014	5.74978198726299	15.8592171717172	NA	NA	512.654166666667	610.89374
"39"	"F"	1999	NA	-2.67883302424843	1.01458891750076	0.423728964421123	0.490196078431373	2.64401440144014	5.74978198726299	15.8592171717172	1.08862761276128	1.66303924110074	NA	NA	519.57708	623.15624
"40"	"F"	2000	NA	-2.2170246567943	0.423728964421123	0.598715735434309	5.74978198726299	15.8592171717172	1.08862761276128	1.66303924110074	0.181159420289855	0.32967032967033	NA	NA	531.691673333333	626.58126
"41"	"F"	2001	NA	2.096604313741	0.598715735434309	-0.241327110135626	1.08862761276128	1.66303924110074	0.181159420289855	0.32967032967033	2.68301775465784	2.10773746088508	NA	NA	536.979173333333	611.5125
"42"	"F"	2002	NA	-1.05987252621583	-0.241327110135626	-Inf	0.181159420289855	0.32967032967033	2.68301775465784	2.10773746088508	0.730330982094411	0	NA	NA	528.683333333333	628.75624
"43"	"F"	2003	NA	NA	-Inf	Inf	2.68301775465784	2.10773746088508	0.730330982094411	0	0	3.19255071499834	NA	NA	523.227073333333	586.64374
"44"	"F"	2004	NA	-0.101898646919018	Inf	1.16750472769953	0.730330982094411	0	0	3.19255071499834	2.88325985330594	9.26669023386332	NA	NA	531.1875	620.84376
"45"	"F"	2005	NA	-2.65688976954757	1.16750472769953	0.499527142536262	0	3.19255071499834	2.88325985330594	9.26669023386332	0.650207657328685	1.07150440634398	NA	NA	512.5125	616.26874
"46"	"F"	2006	NA	0.515016823217186	0.499527142536262	1.93313723626215	2.88325985330594	9.26669023386332	0.650207657328685	1.07150440634398	1.79334119881768	12.3940647362126	NA	NA	531.12372	605.03126
"47"	"F"	2007	NA	-2.0116528720715	1.93313723626215	-2.58977112725591	0.650207657328685	1.07150440634398	1.79334119881768	12.3940647362126	1.65792170931664	0.124405822935235	NA	NA	520.48214	607.11484
"48"	"F"	2008	NA	-0.338824954458438	-2.58977112725591	1.77015555079529	1.79334119881768	12.3940647362126	1.65792170931664	0.124405822935235	0.0886524822695035	0.520546688680976	NA	NA	531.869733333333	627.11342
"49"	"F"	2009	NA	-Inf	1.77015555079529	NA	1.65792170931664	0.124405822935235	0.0886524822695035	0.520546688680976	0	NA	NA	NA	505.93074	598.35988
"50"	"F"	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	504.1329	535.643
